City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
917,Havelock,US,34.8791,-76.9013,66.02,66,100,20.71,overcast clouds
918,Lokoja,NG,7.8024,6.743,78.37,79,99,3.4,overcast clouds
919,Hanna,CA,51.6334,-111.9018,49.86,55,99,5.01,overcast clouds
920,Ziarat,PK,30.3823,67.7282,63.86,25,24,3.27,few clouds
921,Shingu,JP,33.7333,135.9833,62.67,87,100,8.46,overcast clouds
922,Koumac,NC,-20.5667,164.2833,74.46,72,86,6.02,overcast clouds
923,Brainerd,US,46.358,-94.2008,77.02,23,0,5.75,clear sky
924,Luanda,AO,-8.8368,13.2343,78.8,83,75,3.44,broken clouds
925,Antofagasta,CL,-23.65,-70.4,61.88,74,1,4.34,clear sky
926,Vuktyl,RU,63.8567,57.3094,37.72,91,94,5.64,overcast clouds
927,Cascais,PT,38.6979,-9.4215,68.97,49,15,5.01,few clouds
928,Naantali,FI,60.4674,22.0243,51.44,66,0,11.5,light rain
929,Kyzyl-Suu,KG,42.3414,78.0056,52.84,96,100,8.86,overcast clouds
930,Lhokseumawe,ID,5.1801,97.1507,77.4,91,100,2.77,overcast clouds
931,Sale,MA,34.0389,-6.8166,70.48,46,4,5.75,clear sky
932,Terrace,CA,54.5163,-128.6035,48.11,87,100,12.66,light rain
933,Barra Patuca,HN,15.8,-84.2833,84.15,70,18,10.22,few clouds
934,Pirenopolis,BR,-15.8525,-48.9592,73.89,42,45,3.27,scattered clouds
935,Ulety,RU,51.3572,112.4849,27.1,79,100,3.33,overcast clouds
936,Poya,NC,-21.35,165.15,73.09,75,66,5.39,broken clouds
937,Shahrud,IR,36.4182,54.9763,57.07,61,26,7.9,scattered clouds
938,Gao,ML,16.6362,1.637,88.9,5,0,9.17,clear sky
939,Longfeng,CN,46.55,125.1167,38.5,89,100,10.47,overcast clouds
940,Mahalingpur,IN,16.3833,75.1167,78.12,71,100,16.55,overcast clouds
